,index,Room_T,RH,Teff,actual,predicted
229,999,24,50,21.8,0.9,0.89
230,867,34,50,21.8,2.5,2.46
231,933,29,50,21.8,1.7,1.72
232,118,27,30,21.9,1.1,1.12
233,565,25,40,21.9,0.9,0.91
234,289,30,35,21.9,1.7,1.6
235,826,21,45,21.9,0.0,0.27
236,1643,23,65,21.9,0.9,1.02
237,2669,22,90,21.9,1.7,1.61
238,2263,24,80,21.9,1.7,1.67
239,1197,25,55,21.9,1.3,1.13
240,1432,23,60,21.9,0.7,0.91
241,1118,31,55,21.9,2.3,2.21
242,446,34,40,22.0,2.3,2.43
243,2853,23,95,22.0,2.1,1.98
244,499,30,40,22.0,1.7,1.64
245,578,24,40,22.0,0.7,0.69
246,880,33,50,22.0,2.3,2.43
247,92,29,30,22.0,1.5,1.36
248,683,32,45,22.0,2.1,2.16
249,2643,24,90,22.1,2.1,1.99
250,1184,26,55,22.1,1.5,1.23
251,1157,28,55,22.1,1.7,1.55
252,1355,29,60,22.1,2.1,1.98
253,302,29,35,22.1,1.5,1.39
254,775,25,45,22.1,0.9,0.9
255,2995,27,100,22.2,2.5,2.48
256,2039,25,75,22.2,1.7,1.61
257,538,27,40,22.2,1.1,1.13
258,643,35,45,22.2,2.5,2.46
259,1183,26,55,22.3,1.3,1.18
260,998,24,50,22.3,0.7,0.76
261,1420,24,60,22.3,1.1,0.98
262,906,31,50,22.3,1.9,2.0
263,235,34,35,22.3,2.1,2.22
264,472,32,40,22.3,1.9,1.92
265,2891,20,95,22.3,1.3,1.22
266,2484,21,85,22.4,1.1,1.07
267,485,31,40,22.4,1.7,1.7
268,722,29,45,22.4,1.5,1.44
269,2694,20,90,22.4,1.1,1.01
270,248,33,35,22.4,1.9,1.98
271,1604,26,65,22.5,1.5,1.38
272,1380,27,60,22.5,1.5,1.41
273,2445,24,85,22.5,1.7,1.69
274,682,32,45,22.5,1.9,1.99
275,64,31,30,22.5,1.5,1.51
276,2668,22,90,22.5,1.5,1.43
277,1393,26,60,22.5,1.3,1.23
278,2210,28,80,22.5,2.3,2.27
279,958,27,50,22.5,1.1,1.18
280,1553,30,65,22.5,2.5,2.24
281,37,33,30,22.6,1.7,1.82
282,1999,28,75,22.6,2.1,2.18
283,380,23,35,22.6,0.3,0.3
284,2285,22,80,22.6,0.5,1.06
285,852,35,50,22.6,2.3,2.47
286,3036,24,100,22.6,2.3,2.23
287,879,33,50,22.6,2.1,2.23
288,1864,22,70,22.6,0.3,0.77
289,104,28,30,22.7,1.1,1.02
290,1852,23,70,22.7,0.7,0.92
291,1009,23,50,22.7,0.1,0.45
292,2393,28,85,22.7,2.5,2.29
293,971,26,50,22.7,0.9,0.99
294,234,34,35,22.7,1.9,2.07
295,655,34,45,22.7,2.1,2.29
296,117,27,30,22.7,0.9,0.87
297,3023,25,100,22.7,2.5,2.33
298,1341,30,60,22.8,2.1,2.0
299,905,31,50,22.8,1.7,1.84
300,3087,20,100,22.8,1.3,1.23
301,616,21,40,22.8,0.0,0.04
302,1841,24,70,22.8,1.3,1.07
303,1063,35,55,22.9,2.5,2.5
304,10,35,30,22.9,1.9,2.1
305,668,33,45,22.9,1.9,2.09
306,3074,21,100,22.9,1.5,1.42
307,1430,23,60,22.9,0.3,0.63
308,997,24,50,22.9,0.5,0.58
309,314,28,35,22.9,1.1,1.01
310,353,25,35,23.0,0.5,0.47
311,1590,27,65,23.0,1.5,1.46
312,23,34,30,23.0,1.7,1.87
313,1577,28,65,23.0,1.7,1.67
314,3061,22,100,23.0,1.7,1.61
315,641,35,45,23.0,2.1,2.38
316,2680,21,90,23.0,1.1,1.04
317,918,30,50,23.0,1.5,1.55
318,156,24,30,23.0,0.3,0.3
319,3035,24,100,23.1,2.1,2.04
320,1287,34,60,23.1,2.5,2.52
321,2457,23,85,23.1,1.3,1.29
322,878,33,50,23.1,1.9,2.2
323,457,33,40,23.1,1.7,1.84
324,654,34,45,23.1,1.9,2.21
325,2641,24,90,23.1,1.7,1.69
326,1379,27,60,23.1,1.3,1.25
327,1851,23,70,23.1,0.5,0.82
328,3048,23,100,23.1,1.9,1.8
329,2838,24,95,23.1,1.9,1.85
330,1366,28,60,23.2,1.5,1.43
331,563,25,40,23.2,0.5,0.51
332,1998,28,75,23.2,1.9,2.0
333,1418,24,60,23.2,0.7,0.73
334,2248,25,80,23.2,1.5,1.52
335,3008,26,100,23.2,2.3,2.34
336,1749,31,70,23.3,2.5,2.26
337,1538,31,65,23.3,2.3,2.26
338,2600,27,90,23.4,1.9,2.28
339,1564,29,65,23.4,1.9,1.78
340,9,35,30,23.4,1.7,1.92
341,2208,28,80,23.4,1.9,2.13
342,2038,25,75,23.4,1.5,1.29
343,1652,22,65,23.4,0.0,0.34
344,1129,30,55,23.4,1.7,1.62
345,22,34,30,23.4,1.5,1.73
346,2863,22,95,23.5,1.3,1.28
347,850,35,50,23.5,1.9,2.34
348,326,27,35,23.5,0.7,0.64
349,2061,23,75,23.5,0.5,0.85
350,983,25,50,23.5,0.5,0.58
351,392,22,35,23.6,0.0,0.01
352,169,23,30,23.6,0.1,0.14
353,536,27,40,23.7,0.7,0.68
