Room_T,RH,Teff,Wind_Speed
34,55,30.4,0.7
34,55,28.8,0.9
34,55,27.1,1.1
34,55,26.4,1.3
34,55,25.6,1.5
34,55,24.9,1.7
34,55,24.2,1.9
34,55,23.5,2.1
34,55,23.0,2.3
34,55,22.5,2.5
33,55,33.7,0.00
33,55,33.2,0.1
33,55,32.1,0.3
33,55,31.0,0.5
33,55,29.6,0.7
33,55,28.1,0.9
33,55,26.7,1.1
33,55,26.0,1.3
33,55,25.4,1.5
33,55,24.6,1.7
33,55,23.9,1.9
33,55,23.3,2.1
33,55,22.6,2.3
33,55,22.0,2.5
32,55,32.7,0.00
32,55,32.2,0.1
32,55,31.1,0.3
32,55,30.0,0.5
32,55,28.8,0.7
32,55,27.5,0.9
32,55,26.2,1.1
32,55,25.6,1.3
32,55,25.1,1.5
32,55,24.4,1.7
32,55,23.6,1.9
32,55,23.0,2.1
32,55,22.3,2.3
32,55,21.6,2.5
31,55,31.6,0.00
31,55,31.1,0.1
31,55,30.1,0.3
31,55,29.0,0.5
31,55,28.0,0.7
31,55,26.9,0.9
31,55,25.8,1.1
31,55,25.2,1.3
31,55,24.6,1.5
31,55,23.9,1.7
31,55,23.1,1.9
31,55,22.5,2.1
31,55,21.9,2.3
31,55,21.3,2.5
30,55,30.6,0.0
30,55,30.1,0.1
30,55,29.1,0.3
30,55,28.0,0.5
30,55,27.2,0.7
30,55,26.3,0.9
30,55,25.4,1.1
30,55,24.8,1.3
30,55,24.2,1.5
30,55,23.4,1.7
30,55,22.6,1.9
30,55,22.0,2.1
30,55,21.5,2.3
30,55,21.0,2.5
29,55,29.5,0.0
29,55,29.0,0.1
29,55,28.1,0.3
29,55,27.1,0.5
29,55,26.3,0.7
29,55,25.5,0.9
29,55,24.8,1.1
29,55,24.3,1.3
29,55,23.7,1.5
29,55,22.9,1.7
29,55,22.0,1.9
29,55,21.3,2.1
29,55,20.9,2.3
29,55,20.5,2.5
28,55,28.5,0.0
28,55,28.0,0.1
28,55,27.1,0.3
28,55,26.1,0.5
28,55,25.4,0.7
28,55,24.7,0.9
28,55,23.9,1.1
28,55,23.5,1.3
28,55,23.2,1.5
28,55,22.1,1.7
